roi_label,roi_name,x,y,z
1,7Networks_LH_Vis_1,-34.6809,-36.2043,-23.7957
2,7Networks_LH_Vis_2,-34.1909,-51.2455,-18.7091
3,7Networks_LH_Vis_3,-25.6346,-44.5192,-14.5385
4,7Networks_LH_Vis_4,-28.0153,-62.7634,-12.3664
5,7Networks_LH_Vis_5,-30.7297,-42.5946,-9.0270
6,7Networks_LH_Vis_6,-34.3280,-68.6243,-15.7778
7,7Networks_LH_Vis_7,-45.2364,-66.7636,-17.6000
8,7Networks_LH_Vis_8,-24.8595,-57.2645,-8.7851
9,7Networks_LH_Vis_9,-35.9651,-80.0116,-14.7442
10,7Networks_LH_Vis_10,-25.7849,-80.3871,-13.0968
11,7Networks_LH_Vis_11,-21.2500,-73.9815,-8.8611
12,7Networks_LH_Vis_12,-44.9455,-72.1455,-10.9673
13,7Networks_LH_Vis_13,-21.5238,-50.0317,-6.1111
14,7Networks_LH_Vis_14,-20.1909,-88.3091,-16.1636
15,7Networks_LH_Vis_15,-42.3694,-83.6943,-14.1911
16,7Networks_LH_Vis_16,-13.8421,-70.9211,-9.5263
17,7Networks_LH_Vis_17,-13.1311,-83.4098,-14.2951
18,7Networks_LH_Vis_18,-30.8000,-90.8533,-17.9467
19,7Networks_LH_Vis_19,-14.6667,-63.5556,-5.3580
20,7Networks_LH_Vis_20,-15.6061,-37.7273,-10.7879
21,7Networks_LH_Vis_21,-45.9115,-71.2920,-2.8673
22,7Networks_LH_Vis_22,-13.2464,-49.7681,-6.9855
23,7Networks_LH_Vis_23,-6.4387,-78.4387,-7.0581
24,7Networks_LH_Vis_24,-34.5072,-91.7101,-9.5797
25,7Networks_LH_Vis_25,-10.1584,-60.8515,-2.8713
26,7Networks_LH_Vis_26,-6.1913,-70.5739,-2.0000
27,7Networks_LH_Vis_27,-4.4851,-89.8614,-12.2871
28,7Networks_LH_Vis_28,-20.4571,-99.2000,-11.8540
29,7Networks_LH_Vis_29,-45.5487,-81.8359,-1.3128
30,7Networks_LH_Vis_30,-10.0654,-97.5817,-12.0654
31,7Networks_LH_Vis_31,-13.4940,-41.6627,-4.5060
32,7Networks_LH_Vis_32,-7.4286,-61.1429,2.9048
33,7Networks_LH_Vis_33,-29.3750,-95.9286,-2.4286
34,7Networks_LH_Vis_34,-36.4359,-89.1923,0.9231
35,7Networks_LH_Vis_35,-4.6966,-79.5281,2.0000
36,7Networks_LH_Vis_36,-43.9876,-70.7826,6.6211
37,7Networks_LH_Vis_37,-4.8710,-68.4839,6.4839
38,7Networks_LH_Vis_38,-16.4521,-55.2603,0.7397
39,7Networks_LH_Vis_39,-8.2258,-94.5968,-2.0806
40,7Networks_LH_Vis_40,-6.0638,-102.9787,-1.0638
41,7Networks_LH_Vis_41,-12.2388,-45.8209,2.2687
42,7Networks_LH_Vis_42,-48.1491,-77.9130,8.9193
43,7Networks_LH_Vis_43,-5.9412,-87.5647,1.9647
44,7Networks_LH_Vis_44,-17.8721,-102.0930,2.9070
45,7Networks_LH_Vis_45,-43.2895,-85.5263,10.1316
46,7Networks_LH_Vis_46,-16.9268,-68.0488,4.0732
47,7Networks_LH_Vis_47,-11.0560,-74.7680,8.7680
48,7Networks_LH_Vis_48,-13.4737,-50.4737,4.9474
49,7Networks_LH_Vis_49,-24.7774,-94.9585,7.9094
50,7Networks_LH_Vis_50,-21.6610,-59.0847,5.2881
51,7Networks_LH_Vis_51,-6.6250,-81.0208,9.8333
52,7Networks_LH_Vis_52,-2.0851,-94.5532,4.5745
53,7Networks_LH_Vis_53,-32.2081,-87.7557,9.6109
54,7Networks_LH_Vis_54,-8.7609,-99.8913,10.9022
55,7Networks_LH_Vis_55,-16.7000,-57.9000,8.2000
56,7Networks_LH_Vis_56,-17.7794,-64.8529,9.1765
57,7Networks_LH_Vis_57,-8.0000,-69.4286,12.1429
58,7Networks_LH_Vis_58,-17.7450,-98.2282,17.1275
59,7Networks_LH_Vis_59,-48.3846,-75.0769,20.2308
60,7Networks_LH_Vis_60,-1.0642,-79.3578,12.4404
61,7Networks_LH_Vis_61,-41.8898,-80.2712,16.5678
62,7Networks_LH_Vis_62,-3.3778,-92.4889,16.5889
63,7Networks_LH_Vis_63,-17.5000,-60.1364,16.3636
64,7Networks_LH_Vis_64,-25.2881,-91.0000,20.1186
65,7Networks_LH_Vis_65,-34.5490,-89.8824,19.2157
66,7Networks_LH_Vis_66,-7.0588,-68.0588,16.4118
